Date,QB,RB1,RB2,WR1,WR2,WR3,TE,UTIL,D,Total
2016-09-01,11.1,3.7,2.8,9.8,16.4,6.0,11.8,5.1,3.0,69.7
2016-09-01,5.5,3.5,35.9,11.7,15.7,4.1,15.6,3.8,10.0,105.8
2016-09-01,17.6,8.5,10.5,12.8,5.8,6.6,3.2,3.4,4.0,72.4
2016-09-01,12.0,16.7,13.8,14.0,17.2,9.9,12.3,13.4,6.0,115.3
2016-09-01,7.9,11.9,14.3,4.1,3.9,8.8,5.5,11.8,7.0,75.2
2016-09-01,11.1,8.5,11.5,9.6,3.8,9.9,9.7,2.8,12.0,78.9
2016-09-01,15.1,23.0,8.9,4.5,15.0,6.5,5.3,14.5,11.0,103.8
2016-09-08,19.0,14.2,3.1,15.0,9.8,7.1,6.0,10.7,4.0,88.9
2016-09-08,36.5,23.3,8.8,15.7,15.0,11.1,3.7,19.2,3.0,136.3
2016-09-08,10.3,5.8,17.7,35.2,16.6,7.6,2.5,3.4,7.0,106.1
2016-09-08,25.4,16.9,10.7,3.4,15.7,11.1,4.6,5.0,4.0,96.8
2016-09-08,22.2,16.9,5.8,7.6,28.1,16.6,18.5,4.6,17.0,137.3
2016-09-08,32.0,6.4,8.0,13.9,3.8,6.0,3.7,15.0,3.0,91.8
2016-09-08,34.4,7.6,23.0,11.3,3.4,9.1,4.4,12.5,3.0,108.7
2016-09-08,21.4,3.1,11.0,11.3,5.3,12.5,8.1,15.0,17.0,104.7
2016-09-08,34.4,23.0,2.7,14.6,16.6,12.5,11.8,19.2,3.0,137.8
2016-09-08,14.5,5.8,9.6,3.3,7.6,8.8,3.1,6.4,3.0,62.1
2016-09-11,29.1,4.4,12.2,27.4,9.8,4.5,5.5,22.7,6.0,121.6
2016-09-11,19.0,23.0,14.2,13.4,14.0,13.9,5.0,13.4,4.0,119.9
2016-09-11,19.0,8.8,3.1,27.4,4.5,9.4,6.0,6.9,10.0,95.1
2016-09-11,23.6,11.9,17.0,27.6,7.8,12.5,17.9,3.9,3.0,125.2
2016-09-11,19.3,27.8,23.0,20.9,10.7,35.2,7.4,8.9,3.0,156.2
2016-09-11,14.6,6.4,22.7,35.6,11.0,9.9,15.6,35.9,6.0,157.7
2016-09-11,19.3,3.9,17.7,13.4,9.8,13.3,3.2,6.8,10.0,97.4
2016-09-11,14.5,16.7,5.8,4.5,6.4,7.9,5.0,15.0,5.0,80.8
2016-09-11,18.9,13.0,13.1,20.2,6.5,19.2,5.5,11.3,3.0,110.7
2016-09-11,15.0,14.6,17.0,24.7,17.2,3.4,17.4,3.0,6.0,118.3
2016-09-12,23.6,6.5,10.5,5.3,7.6,6.9,7.1,36.2,15.0,118.7
2016-09-12,10.1,6.7,9.6,5.4,8.8,11.8,3.0,5.5,4.0,64.9
2016-09-12,10.3,14.7,3.5,5.5,18.8,12.1,6.5,15.1,3.0,89.5
2016-09-12,22.6,4.9,23.3,5.8,24.5,3.5,18.5,5.8,4.0,112.9
2016-09-12,10.1,3.5,21.3,32.4,13.1,35.6,9.7,7.1,17.0,149.8
2016-09-12,28.0,9.6,11.7,7.0,10.7,7.9,10.1,24.0,7.0,116.0
2016-09-12,10.3,3.8,3.8,5.5,24.6,19.0,9.7,6.5,15.0,98.2
2016-09-12,12.4,24.8,13.0,15.1,7.8,6.9,8.1,20.2,8.0,116.3
