Date,W1,W2,W3,C1,C2,D1,D2,U,G,Total
2010-11-03,13.5,15.0,7.5,3.0,9.0,4.5,3.0,9.0,22.199999999999999,86.7
2010-11-03,10.5,6.0,7.5,9.0,18.0,3.0,9.0,6.0,12.6,81.6
2010-11-03,27.0,3.0,10.5,3.0,10.5,4.5,9.0,7.5,21.600000000000001,96.6
2010-11-03,3.0,3.0,13.5,6.0,12.0,3.0,10.5,10.5,12.599999999999998,74.1
2010-11-03,6.0,9.0,27.0,9.0,19.5,7.5,3.0,10.5,21.600000000000001,113.1
2010-11-04,3.0,4.5,4.5,4.5,19.5,3.0,4.5,13.5,25.800000000000001,82.8
2010-11-04,4.5,4.5,6.0,31.5,3.0,3.0,9.0,12.0,30.0,103.5
2010-11-04,13.5,3.0,13.5,15.0,12.0,7.5,3.0,3.0,10.800000000000001,81.3
2010-11-04,4.5,12.0,3.0,3.0,16.5,3.0,13.5,4.5,25.800000000000001,85.8
2010-11-04,3.0,3.0,6.0,13.5,13.5,4.5,3.0,3.0,29.399999999999999,78.9
2010-11-04,15.0,7.5,4.5,16.5,3.0,3.0,4.5,13.5,22.800000000000001,90.3
2010-11-04,15.0,12.0,4.5,6.0,4.5,9.0,4.5,4.5,22.800000000000001,82.8
2010-11-04,3.0,10.5,6.0,6.0,19.5,4.5,9.0,12.0,29.399999999999999,99.9
2010-11-04,4.5,6.0,15.0,3.0,3.0,10.5,12.0,13.5,25.800000000000001,93.3
2010-11-04,6.0,3.0,15.0,3.0,3.0,7.5,7.5,3.0,10.800000000000001,58.8
2010-11-05,3.0,3.0,10.5,10.5,3.0,6.0,7.5,6.0,21.0,70.5
2010-11-05,3.0,3.0,4.5,3.0,6.0,3.0,3.0,6.0,7.8000000000000016,39.3
2010-11-05,3.0,13.5,6.0,12.0,24.0,10.5,4.5,7.5,17.399999999999999,98.4
2010-11-05,12.0,3.0,22.5,3.0,3.0,4.5,3.0,7.5,23.399999999999999,81.9
2010-11-05,6.0,12.0,6.0,7.5,3.0,3.0,9.0,3.0,15.0,64.5
2010-11-05,21.0,4.5,6.0,7.5,9.0,7.5,18.0,3.0,10.199999999999999,86.7
2010-11-05,6.0,21.0,6.0,9.0,30.0,3.0,16.5,10.5,7.8000000000000016,109.8
2010-11-05,3.0,15.0,4.5,9.0,3.0,3.0,3.0,24.0,7.8000000000000016,72.3
2010-11-05,7.5,12.0,21.0,3.0,3.0,6.0,6.0,25.5,23.399999999999999,107.4
2010-11-05,7.5,6.0,3.0,3.0,12.0,7.5,13.5,6.0,7.8000000000000016,66.3
2010-11-06,13.5,3.0,3.0,6.0,24.0,3.0,4.5,3.0,7.8000000000000016,67.8
2010-11-06,4.5,4.5,6.0,4.5,24.0,6.0,10.5,19.5,22.800000000000001,102.3
2010-11-06,12.0,3.0,13.5,19.5,6.0,21.0,6.0,3.0,22.800000000000001,106.8
2010-11-06,4.5,6.0,7.5,3.0,7.5,18.0,16.5,7.5,13.799999999999995,84.3
2010-11-06,7.5,9.0,9.0,7.5,6.0,4.5,3.0,4.5,9.0,60.0
2010-11-06,6.0,4.5,18.0,24.0,16.5,3.0,10.5,3.0,21.0,106.5
2010-11-06,7.5,3.0,12.0,19.5,21.0,10.5,3.0,4.5,11.4,92.4
2010-11-06,3.0,18.0,4.5,6.0,4.5,4.5,3.0,3.0,8.3999999999999986,54.9
2010-11-06,7.5,4.5,13.5,19.5,24.0,6.0,3.0,3.0,19.199999999999999,100.2
2010-11-06,6.0,7.5,3.0,3.0,12.0,9.0,15.0,21.0,11.4,87.9
2010-11-09,16.5,12.0,4.5,16.5,3.0,3.0,12.0,3.0,31.800000000000001,102.3
2010-11-09,10.5,3.0,7.5,3.0,6.0,7.5,3.0,10.5,9.5999999999999979,60.6
2010-11-09,9.0,9.0,4.5,12.0,10.5,7.5,3.0,7.5,10.199999999999999,73.2
2010-11-09,10.5,12.0,12.0,4.5,25.5,4.5,7.5,3.0,15.0,94.5
2010-11-09,16.5,3.0,16.5,3.0,4.5,9.0,4.5,6.0,15.0,78.0
2010-11-09,10.5,3.0,12.0,4.5,6.0,4.5,9.0,9.0,20.399999999999999,78.9
2010-11-09,22.5,7.5,19.5,3.0,10.5,3.0,4.5,10.5,26.399999999999999,107.4
2010-11-09,3.0,10.5,4.5,10.5,24.0,6.0,7.5,4.5,24.0,94.5
2010-11-09,16.5,3.0,9.0,7.5,3.0,6.0,6.0,3.0,9.5999999999999979,63.6
2010-11-09,6.0,13.5,3.0,12.0,3.0,3.0,7.5,6.0,9.5999999999999979,63.6
2010-11-10,7.5,10.5,16.5,3.0,12.0,25.5,6.0,3.0,10.800000000000001,94.8
2010-11-10,3.0,10.5,4.5,3.0,28.5,7.5,6.0,10.5,25.199999999999999,98.7
2010-11-10,9.0,7.5,12.0,16.5,28.5,6.0,15.0,25.5,25.199999999999999,145.2
2010-11-10,3.0,12.0,9.0,9.0,12.0,6.0,7.5,25.5,25.199999999999999,109.2
2010-11-10,18.0,6.0,15.0,4.5,25.5,6.0,7.5,10.5,13.800000000000001,106.8
2010-11-10,6.0,9.0,3.0,3.0,21.0,10.5,10.5,4.5,23.399999999999999,90.9
2010-11-10,3.0,3.0,7.5,28.5,13.5,7.5,13.5,7.5,13.800000000000001,97.8
2010-11-10,9.0,7.5,9.0,12.0,6.0,7.5,4.5,12.0,13.800000000000001,81.3
2010-11-10,7.5,27.0,6.0,12.0,7.5,7.5,6.0,22.5,13.800000000000001,109.8
