Date,QB1,QB2,RB1,RB2,WR1,WR2,WR3,TE,UTIL,Total
2013-01-01,14.7,12.7,10.3,6.6,5.7,11.9,7.4,11.3,5.1,85.7
2013-01-01,11.2,11.3,7.4,36.9,14.3,6.3,8.9,4.7,7.3,108.3
2013-01-01,12.7,14.7,33.1,22.9,7.4,8.9,4.4,4.6,12.7,121.4
2013-01-01,11.3,14.4,16.7,2.9,2.9,3.8,11.2,10.4,4.4,78.0
2013-01-01,12.7,16.5,16.5,9.8,3.1,12.1,5.9,8.9,18.8,104.3
2013-01-01,11.2,16.5,2.8,22.9,11.2,18.8,5.4,12.7,10.0,111.5
2013-01-01,21.8,16.5,2.9,10.2,14.2,4.4,30.6,2.9,11.3,114.8
2013-01-01,12.7,8.4,2.1,7.4,3.1,6.5,5.1,9.1,36.9,91.3
2014-08-28,7.7,4.6,7.6,23.6,10.0,10.9,10.4,11.1,14.0,99.9
2014-08-28,14.6,16.6,9.0,2.6,21.9,31.3,3.7,4.7,21.6,126.0
2014-08-28,7.7,6.1,7.1,16.3,3.3,3.2,4.8,4.7,15.9,69.1
2014-08-28,13.0,31.7,6.0,11.3,30.7,3.3,10.4,4.2,10.8,121.4
2014-08-28,6.1,30.0,23.6,4.5,13.7,11.8,21.6,3.2,6.9,121.4
2014-08-28,5.6,31.7,3.6,8.3,6.9,31.3,15.9,8.1,14.6,126.0
2014-08-28,15.1,14.0,23.6,8.4,19.6,10.9,8.3,8.2,15.7,123.8
2014-08-28,23.3,13.1,3.8,4.5,13.0,7.8,8.3,2.9,10.1,86.8
2014-08-28,14.9,41.7,3.7,11.2,30.9,5.6,12.6,31.3,3.5,155.4
2014-08-28,16.6,11.8,8.4,5.6,7.8,4.8,10.4,2.4,3.7,71.5
2014-08-29,8.7,22.3,2.0,20.1,5.9,3.7,14.3,8.4,3.0,88.4
2014-08-29,6.3,7.1,20.1,11.4,3.4,3.8,32.4,3.5,11.6,99.6
2014-08-29,26.5,49.0,4.8,24.3,3.7,3.3,23.0,2.3,15.2,152.1
2014-08-29,6.3,26.5,35.4,15.1,16.6,31.2,3.8,7.1,3.4,145.4
2014-08-29,7.1,17.5,27.2,3.7,5.4,2.8,5.1,3.2,15.8,87.8
2014-08-29,8.7,49.6,12.6,2.1,4.2,5.4,6.7,3.9,3.7,96.9
2014-08-29,23.5,41.0,21.0,14.5,14.4,7.9,3.7,8.4,15.6,150.0
2014-08-29,49.6,49.0,20.1,11.2,3.4,10.9,8.0,3.2,15.6,171.0
2014-08-29,4.5,49.0,2.1,3.0,8.0,4.2,16.6,6.3,2.7,96.4
2014-08-29,26.5,17.5,3.0,5.7,5.2,7.7,3.6,3.9,2.8,75.9
2014-08-30,26.2,27.6,9.9,28.6,3.0,10.6,11.5,3.8,3.0,124.2
2014-08-30,15.6,25.4,6.6,3.1,6.0,13.4,3.9,11.2,32.0,117.2
2014-08-30,10.4,5.4,14.0,8.1,4.8,5.5,17.5,2.8,6.0,74.5
2014-08-30,25.1,8.7,5.7,4.5,34.3,7.1,28.5,19.5,9.9,143.3
2014-08-30,7.2,14.6,38.8,2.7,2.8,3.6,9.8,13.6,8.7,101.8
2014-08-30,24.0,26.4,3.1,19.8,6.1,5.2,6.6,20.2,10.5,121.9
2014-08-30,25.9,5.3,10.8,2.9,7.3,18.9,3.9,9.5,11.5,96.0
2014-08-30,23.2,27.4,21.9,10.7,17.5,6.1,44.4,2.2,4.3,157.7
2014-08-30,9.0,11.9,8.4,13.5,5.2,3.3,8.9,2.5,11.4,74.1
2014-08-30,15.5,25.8,3.9,9.0,12.5,5.6,15.5,4.6,2.3,94.7
2014-09-06,10.3,7.8,9.7,7.3,7.6,3.0,12.7,2.8,12.7,73.9
2014-09-06,29.8,6.2,14.6,2.6,21.0,12.1,43.5,2.8,2.1,134.7
2014-09-06,7.0,8.9,16.1,10.0,3.8,4.8,9.4,9.4,4.3,73.7
2014-09-06,14.6,10.8,13.6,9.0,9.7,3.2,6.7,3.7,12.7,84.0
2014-09-06,7.5,10.4,36.3,13.0,25.1,4.3,25.1,4.5,6.3,132.5
2014-09-06,20.7,14.6,2.5,7.5,6.1,4.3,6.1,2.3,4.3,68.4
2014-09-06,5.4,9.1,3.7,8.2,7.5,4.3,8.2,2.8,19.0,68.2
2014-09-06,38.1,23.7,2.3,16.2,6.1,23.8,4.6,3.4,3.3,121.5
2014-09-06,12.7,8.4,11.5,8.8,14.6,10.1,7.9,22.7,8.0,104.7
2014-09-06,8.0,17.5,2.6,13.6,17.9,3.3,14.2,3.4,16.3,96.8
2014-09-13,10.8,25.0,43.5,16.9,16.0,12.2,5.9,9.0,7.4,146.7
2014-09-13,15.1,20.9,11.1,2.8,14.7,7.7,9.6,9.0,33.0,123.9
2014-09-13,16.2,15.1,15.3,5.4,8.4,2.8,5.2,15.5,14.4,98.3
2014-09-13,32.2,5.2,3.0,6.4,20.0,3.3,4.5,8.6,13.8,97.0
2014-09-13,5.2,11.2,10.0,10.1,6.6,11.4,13.4,2.8,17.8,88.5
2014-09-13,23.8,27.7,16.2,34.7,5.4,26.9,9.0,6.8,16.6,167.1
2014-09-13,16.9,6.1,8.1,5.3,20.8,14.3,14.1,3.6,4.1,93.3
2014-09-13,13.9,39.1,4.6,2.1,3.9,4.4,11.8,24.9,12.8,117.5
2014-09-13,14.7,10.1,3.2,4.7,11.7,37.2,5.7,3.5,8.6,99.4
2014-09-13,5.0,16.9,9.5,6.6,4.0,15.6,8.9,3.4,5.6,75.5
2014-09-20,6.3,37.7,8.9,20.8,26.3,5.2,14.0,11.1,10.5,140.8
2014-09-20,8.9,15.6,8.5,13.3,36.3,19.0,5.9,2.6,10.8,120.9
2014-09-20,5.8,6.7,9.2,20.3,7.0,10.7,6.8,4.6,5.0,76.1
2014-09-20,11.8,13.6,2.2,3.2,4.7,16.5,10.2,6.7,3.7,72.6
2014-09-20,26.5,7.3,8.5,5.1,36.2,5.1,4.8,4.0,11.0,108.5
2014-09-20,8.9,6.5,5.7,4.7,3.0,3.1,4.0,6.3,3.4,45.6
2014-09-20,5.3,7.2,13.4,2.6,11.8,3.8,3.3,2.4,7.6,57.4
2014-09-20,28.7,7.8,4.9,4.6,10.4,2.8,9.6,3.7,51.2,123.7
2014-09-20,28.7,22.8,18.2,45.2,8.1,3.8,26.4,3.8,12.7,169.7
2014-09-20,14.9,32.7,2.5,14.1,35.0,6.8,23.3,21.0,10.7,161.0
2014-09-27,29.2,23.0,3.4,17.9,3.4,18.9,5.8,7.1,11.7,120.4
2014-09-27,9.7,6.0,51.5,6.2,20.9,11.7,32.8,2.2,15.2,156.2
2014-09-27,4.8,12.7,4.4,17.8,8.0,5.3,6.7,16.5,13.1,89.3
2014-09-27,29.6,9.7,8.8,4.2,3.6,11.6,5.1,2.4,8.3,83.3
2014-09-27,5.2,40.1,26.2,3.1,32.8,9.1,3.7,14.3,13.8,148.3
2014-09-27,23.4,12.7,5.5,12.0,4.1,3.2,3.4,6.4,2.8,73.5
2014-09-27,26.3,45.4,3.9,15.4,15.2,12.7,9.9,5.3,2.2,136.3
2014-09-27,16.1,9.1,13.9,25.9,5.1,12.2,12.4,8.2,5.5,108.4
2014-09-27,34.7,16.2,20.4,4.0,5.6,3.5,7.0,6.8,4.3,102.5
2014-09-27,9.7,36.4,12.2,6.1,12.9,3.0,5.8,7.6,16.0,109.7
2014-10-04,34.1,28.4,6.1,19.1,12.1,3.4,6.2,10.8,2.7,122.9
2014-10-04,22.1,11.0,7.2,9.9,4.6,31.0,31.5,8.2,4.8,130.3
2014-10-04,9.7,25.4,8.3,8.0,5.4,33.4,3.7,5.0,5.3,104.2
2014-10-04,34.1,11.5,4.2,25.2,3.6,41.0,6.8,2.1,22.7,151.2
