Date,P,C,1B,2B,SS,3B,OF1,OF2,OF3,Total
2013-09-09,5.5,23.5,11.5,22.5,11.5,9.0,14.5,29.5,20.5,148.0
2013-09-10,12.0,3.0,36.0,17.5,47.5,9.0,21.0,6.0,24.0,176.0
2013-09-10,4.5,5.0,27.0,6.0,6.0,5.5,5.0,8.5,7.5,75.0
2013-09-10,9.0,8.5,12.0,12.0,20.5,17.0,18.0,20.0,12.0,129.0
2013-09-10,21.5,11.0,12.0,17.5,6.0,5.0,6.0,5.5,6.0,90.5
2013-09-10,8.0,12.0,11.5,12.0,6.0,23.5,7.5,6.0,47.5,134.0
2013-09-10,36.0,11.0,5.5,9.0,20.5,12.0,39.0,6.0,15.0,154.0
2013-09-10,5.5,39.0,9.0,55.0,6.0,15.0,12.5,5.0,51.0,198.0
2013-09-10,6.0,3.0,11.5,5.0,9.0,9.0,5.5,18.0,12.5,79.5
2013-09-10,4.0,12.0,9.0,12.0,6.0,14.5,5.0,12.0,6.0,80.5
2013-09-10,43.5,8.5,9.0,6.0,27.0,12.0,5.5,6.0,6.0,123.5
2013-09-11,6.0,6.0,5.5,24.0,9.0,15.0,9.0,8.0,12.0,94.5
2013-09-11,4.5,14.5,8.0,36.0,6.0,5.5,27.0,8.5,11.5,121.5
2013-09-11,6.0,6.0,11.5,10.5,27.0,11.5,27.0,5.5,6.0,111.0
2013-09-11,4.0,5.5,20.0,9.0,5.5,21.0,26.5,12.5,5.5,109.5
2013-09-11,7.0,17.5,12.0,19.5,9.0,5.5,6.0,40.5,12.0,129.0
2013-09-11,32.5,5.5,20.5,14.0,13.5,8.0,15.0,26.5,8.5,144.0
2013-09-11,9.0,6.0,27.0,10.5,5.5,8.5,18.0,26.5,36.0,147.0
2013-09-11,5.5,30.0,5.0,23.0,14.5,5.5,5.5,8.5,6.0,103.5
2013-09-11,6.0,8.5,8.0,5.5,8.0,30.5,8.5,9.0,27.0,111.0
2013-09-11,5.5,5.5,12.0,9.0,3.0,21.0,6.0,6.0,15.0,83.0
2013-09-12,21.0,11.5,36.0,18.0,15.0,6.0,20.5,9.0,11.0,148.0
2013-09-12,5.5,6.0,6.0,5.5,5.0,21.0,16.5,5.5,9.0,80.0
2013-09-12,35.0,21.0,36.0,9.0,15.0,4.5,5.0,9.0,20.5,155.0
2013-09-12,16.5,8.5,36.0,6.0,42.0,16.5,11.0,15.0,11.5,163.0
2013-09-12,35.0,21.0,21.0,8.5,9.0,6.0,9.0,11.5,7.5,128.5
2013-09-12,28.5,11.5,30.0,23.0,6.0,15.0,9.0,11.5,11.5,146.0
2013-09-12,5.5,18.0,6.0,8.5,15.0,4.5,17.5,27.0,6.0,108.0
