GameID,PlayerID,Date,Points,Seconds_Played,ShotsAttempted,ShotsMade,ThreesAttempted,ThreesMade,FreeThrowsAttempted,FreeThrowsMade,Assists,Blocks,Steals,Rebounds,OffensiveRebounds,DefensiveRebounds,Turnovers,Bonus,Plus_Minus,FantasyPoints,DraftkingsPoints
945753,740121,2017-03-22,5,1037,2,2,1,1,0,0,2,1,0,3,0,3,2,0,-1,9.0,13.25
945753,737540,2017-03-22,9,1327,9,3,7,3,0,0,1,1,2,7,1,6,0,0,-6,18.5,26.75
945753,740014,2017-03-22,0,234,1,0,0,0,0,0,0,0,0,1,0,1,1,0,5,0.5,0.75
945753,657798,2017-03-22,4,1300,4,1,1,0,2,2,1,0,0,5,0,5,1,0,0,8.0,11.25
945753,542706,2017-03-22,0,961,1,0,1,0,0,0,2,0,0,2,0,2,1,0,0,3.5,5.0
945753,744872,2017-03-22,2,402,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1.5,2.0
945753,747932,2017-03-22,33,1646,22,11,5,4,7,7,3,0,0,2,1,1,0,0,-7,29.0,42.0
945753,543582,2017-03-22,18,2050,12,8,2,0,4,2,5,0,0,6,2,4,4,0,-30,22.0,31.0
945753,747536,2017-03-22,6,1646,4,3,0,0,0,0,2,1,0,4,2,2,0,0,-7,11.5,16.0
945754,751305,2017-03-22,10,1632,10,5,0,0,1,0,2,4,0,7,1,6,2,0,-12,19.5,28.75
945754,726790,2017-03-22,10,1647,5,3,2,1,3,3,7,0,1,2,0,2,1,0,-6,16.5,25.0
945754,766807,2017-03-22,8,1862,8,4,1,0,0,0,1,0,2,8,3,5,0,0,-6,17.0,23.5
945754,751504,2017-03-22,21,2143,16,8,6,2,5,3,2,0,1,4,1,3,1,0,-5,22.0,31.5
945754,749816,2017-03-22,0,762,2,0,1,0,0,0,0,0,0,1,0,1,1,0,-12,0.5,0.75
945754,724387,2017-03-22,12,1460,7,5,4,2,0,0,3,0,1,3,0,3,1,0,-11,16.0,22.75
945754,740821,2017-03-22,18,1233,14,8,3,2,1,0,2,0,0,3,1,2,2,0,-12,18.0,24.75
945754,668203,2017-03-22,3,881,4,1,4,1,0,0,2,0,1,0,0,0,1,0,-14,5.0,8.0
945754,724293,2017-03-22,12,1395,9,5,5,2,0,0,0,0,0,2,0,2,2,0,-8,10.5,14.5
945754,771363,2017-03-22,4,1385,9,2,0,0,0,0,0,2,0,7,2,5,1,0,-4,11.5,16.25
945754,762228,2017-03-22,2,138,2,1,1,0,0,0,1,0,0,0,0,0,0,0,-1,2.5,3.5
945754,733307,2017-03-22,10,1105,4,3,3,2,3,2,2,2,0,3,1,2,0,0,14,14.5,21.75
945754,744051,2017-03-22,13,1871,11,5,6,3,0,0,3,1,2,2,0,2,2,0,14,17.5,26.5
945754,750861,2017-03-22,12,1755,8,5,4,2,0,0,4,0,1,1,0,1,2,0,11,14.5,21.25
945754,542646,2017-03-22,9,1314,5,3,5,3,0,0,4,0,2,4,1,3,1,0,10,17.0,25.0
945754,748937,2017-03-22,0,138,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1.0,2.0
945754,740449,2017-03-22,15,1223,6,5,0,0,6,5,1,0,0,5,2,3,3,0,13,14.5,21.25
945754,745413,2017-03-22,3,1125,6,1,2,1,0,0,3,0,1,2,0,2,0,0,7,8.5,12.5
945754,755620,2017-03-22,32,2403,22,12,2,1,10,7,6,1,2,13,3,10,0,2,20,46.5,65.25
945754,748949,2017-03-22,3,1428,3,1,3,1,0,0,2,0,0,1,0,1,1,0,9,5.0,7.25
945754,751248,2017-03-22,13,1210,10,5,8,3,0,0,2,0,0,4,0,4,1,0,4,16.0,22.0
945754,771362,2017-03-22,4,690,3,2,1,0,0,0,0,0,0,3,0,3,0,0,-10,6.0,7.75
